detector,mode,dataset,class_name,shape,method,path,frames,detected,clips,clips_complete,clips_empty,box_width_px,clip_jitter,seconds_per_frame
retinaface,train,CelebDFv3,fake,square,TalkingFace/EDTalk,FAKE/TalkingFace/EDTalk/id46_0002_test_id02286_B3_GpoLIZpU.mp4,32,32,4,4,0,120.5,0.008081458448406218,0.016478225588798523
haar,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id1_id20_0007.mp4,32,23,4,2,1,176.0,0.022018723409930635,0.007500439882278442
mtcnn,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id1_id20_0007.mp4,32,32,4,4,0,145.25,0.037576458748729495,0.004479438066482544
retinaface,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id1_id20_0007.mp4,32,32,4,4,0,146.0,0.026967862552465145,0.01593002676963806
haar,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id16_0013_test_id08456_57jM1IfuGag.mp4,32,32,4,4,0,175.5,0.007900505091401326,0.007839515805244446
mtcnn,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id16_0013_test_id08456_57jM1IfuGag.mp4,32,32,4,4,0,142.75,0.009091655736994398,0.0044914186000823975
retinaface,train,CelebDFv3,fake,square,TalkingFace/SadTalker,FAKE/TalkingFace/SadTalker/id16_0013_test_id08456_57jM1IfuGag.mp4,32,32,4,4,0,139.0,0.0077577820423183706,0.015404321253299713
haar,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id0_0006_test_id01333__9WuuzOL_cE.mp4,32,32,4,4,0,297.25,0.01762398893458341,0.016263380646705627
mtcnn,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id0_0006_test_id01333__9WuuzOL_cE.mp4,32,32,4,4,0,239.0,0.01643760576533749,0.009041555225849152
retinaface,train,CelebDFv3,fake,square,TalkingFace/FLOAT,FAKE/TalkingFace/FLOAT/id0_0006_test_id01333__9WuuzOL_cE.mp4,32,32,4,4,0,227.5,0.01490640191369598,0.02619023621082306
